TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
11449.356,11448.637,11320.325,11348.828,11553.794,11579.748
11204.197,11205.561,11079.508,11103.54,11305.048,11327.99
11013.167,11014.086,10885.347,10912.681,11113.326,11141.688
10676.114,10677.422,10554.135,10578.672,10769.65,10800.224
10380.358,10379.508,10253.648,10285.763,10480.804,10513.716
9960.528,9961.842,9837.984,9865.234,10059.767,10084.963
9614.368,9614.432,9488.077,9517.356,9713.019,9745.367
9361.762,9363.905,9236.73,9267.621,9454.577,9485.799
9343.398,9343.259,9220.059,9246.8125,9442.431,9469.972
9609.3,9607.994,9486.929,9512.14,9705.438,9732.001
9934.316,9933.73,9806.886,9832.965,10030.843,10059.397
10485.715,10487.482,10360.215,10383.546,10582.662,10609.28
10547.637,10547.092,10424.074,10454.213,10643.477,10673.603
10060.383,10059.208,9931.647,9964.128,10160.802,10189.738
9495.728,9495.727,9379.271,9399.52,9588.321,9617.598
8983.488,8982.94,8849.647,8883.004,9081.451,9108.211
8511.339,8513.947,8381.606,8410.924,8610.183,8635.913
8328.166,8330.219,8197.621,8234.936,8422.327,8455.931
8234.413,8236.764,8104.001,8129.0845,8332.4795,8370.878
8215.259,8215.219,8086.617,8124.412,8315.531,8335.085
8481.972,8484.546,8356.852,8386.676,8578.097,8607.497
8967.062,8967.559,8844.621,8868.028,9064.851,9090.453
9675.938,9677.339,9546.948,9578.632,9769.998,9801.537
10000.387,9999.014,9875.133,9907.014,10095.593,10125.573
9968.587,9965.666,9853.057,9876.656,10062.528,10096.6045
9675.8,9677.293,9544.63,9573.738,9776.582,9805.136
9368.353,9366.227,9248.457,9272.83,9467.624,9492.145
9441.288,9438.861,9308.478,9338.411,9541.058,9566.409
9609.402,9609.701,9491.953,9514.588,9702.694,9732.079
9597.628,9597.949,9470.746,9505.069,9693.497,9713.453
9508.737,9505.873,9382.217,9416.851,9603.177,9637.638
9500.341,9501.694,9376.957,9402.139,9601.699,9632.8545
9423.694,9425.736,9290.83,9323.297,9523.724,9548.514
9604.366,9604.182,9481.669,9508.354,9699.81,9723.843
9791.908,9793.801,9656.386,9685.206,9890.538,9926.241
10067.546,10068.217,9947.435,9968.583,10158.256,10181.395
10001.012,9999.357,9880.355,9906.839,10097.698,10119.886
