,TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
340,11886.424,11882.235,11537.967,11637.578,12139.235,12211.137
341,12210.948,12205.817,11955.751,12018.592,12404.969,12471.635
342,12038.938,12044.686,11827.326,11879.091,12190.925,12241.577
343,12225.352,12224.658,12010.449,12058.355,12391.054,12435.561
344,12405.51,12406.162,12144.572,12205.32,12600.79,12648.765
345,12338.208,12338.232,12143.604,12184.751,12501.27,12556.815
346,12610.743,12606.55,12377.571,12435.43,12790.234,12848.415
347,12634.386,12636.907,12409.782,12455.147,12806.761,12856.665
348,12621.434,12613.367,12394.246,12440.851,12807.169,12863.591
349,12319.465,12320.783,12088.097,12142.516,12496.871,12546.096
350,12258.12,12257.918,12050.69,12097.038,12410.746,12451.729
351,12524.846,12528.185,12284.112,12348.427,12694.475,12750.133
352,12635.866,12631.96,12441.605,12482.59,12792.67,12833.425
353,12848.87,12853.769,12626.278,12684.748,13006.943,13059.037
354,13109.818,13108.542,12902.933,12943.508,13270.409,13312.925
355,12672.637,12667.383,12433.843,12484.897,12853.245,12921.972
356,12779.636,12783.492,12517.064,12580.606,12971.605,13039.651
357,12470.203,12468.909,12250.915,12301.897,12635.684,12682.972
358,12417.536,12414.8125,12187.576,12245.189,12598.519,12660.667
359,12085.922,12086.5,11863.99,11920.606,12243.587,12289.05
360,11719.346,11720.7705,11455.484,11515.478,11911.012,11969.032
361,11510.524,11504.093,11255.845,11318.156,11711.737,11778.02
362,11685.762,11683.822,11464.277,11514.968,11861.637,11915.656
363,11497.278,11503.272,11197.485,11272.949,11707.312,11780.961
364,11852.312,11848.926,11650.868,11698.843,12009.542,12061.408
365,11965.798,11965.973,11752.177,11795.085,12128.208,12182.964
366,11878.131,11878.726,11635.02,11706.63,12048.626,12128.514
367,12146.148,12144.51,11927.445,11974.084,12308.204,12370.151
368,12129.535,12128.776,11907.041,11958.62,12304.244,12341.403
369,12240.522,12238.736,12018.433,12071.8545,12408.4,12460.082
370,12420.784,12425.213,12191.325,12253.355,12583.638,12632.026
371,12549.474,12551.426,12320.647,12375.454,12711.252,12776.942
372,12704.601,12704.515,12500.308,12547.5205,12850.857,12912.991
373,12735.704,12739.488,12490.573,12558.437,12909.918,12965.675
374,12342.65,12344.049,12125.679,12175.985,12508.2295,12574.303
375,12673.383,12671.811,12463.608,12515.016,12836.218,12889.378
376,12877.661,12880.228,12647.504,12702.449,13050.551,13091.969
377,12983.258,12976.51,12771.934,12821.648,13146.912,13198.808
378,13252.54,13253.305,13004.515,13074.547,13430.674,13494.858
379,13088.194,13090.148,12843.2295,12896.384,13284.786,13342.863
380,12794.342,12796.75,12576.917,12639.579,12952.631,12994.545
381,12841.811,12841.402,12600.6,12649.612,13038.564,13112.134
382,12624.34,12620.219,12376.782,12449.086,12806.753,12848.888
383,12396.713,12395.191,12164.018,12208.998,12577.092,12638.271
384,12116.978,12118.262,11907.206,11951.774,12282.12,12330.112
385,11804.367,11808.116,11574.189,11619.923,11979.498,12042.086
